%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 124 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.30000 35.00 6.70 -999.00 -999.00 553.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 232.10 453.20 -999.00
2023 124 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.50000 30.00 7.20 -999.00 -999.00 494.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 277.40 336.60 -999.00
2023 124 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 32.00 7.40 -999.00 -999.00 501.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 199.50 538.70 -999.00
2023 124 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.60000 34.00 7.10 -999.00 -999.00 462.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 157.70 650.70 -999.00
2023 124 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 37.00 6.30 -999.00 -999.00 263.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 89.00 494.80 -999.00
2023 124 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.50000 37.00 6.00 -999.00 -999.00 123.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.70 286.30 -999.00
2023 124 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 55.00 4.30 -999.00 -999.00 42.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 28.10 106.90 -999.00
2023 124 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 68.00 2.90 -999.00 -999.00 2.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 1.60 0.00 -999.00
2023 124 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 68.00 2.80 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.20 -999.00
2023 125 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 63.00 2.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.20 -999.00
